model,company,date,params,special,summary,source
GPT-1,OpenAI,2018-06-11,117M,generative pretraining,Showed generative pretraining boosts downstream language task performance,https://openai.com/blog/language-unsupervised/#:~:text=June%2011%2C%202018
GPT-2,OpenAI,2019-02-14,1.5B,,Scaled coherent generation and sparked staged-release safety debate,https://openai.com/index/better-language-models/#:~:text=February%2014%2C%202019
GPT-3,OpenAI,2020-05-28,175B,in-context learning,Few-shot prompting revealed powerful in-context learning at scale,https://openai.com/index/language-models-are-few-shot-learners/#:~:text=May%2028%2C%202020
DALL-E,OpenAI,2021-01-05,12B,text-to-image generation,Early text-to-image generation system showed language models could synthesize images,https://openai.com/research/dall-e#:~:text=January%205%2C%202021
Codex,OpenAI,2021-07-07,12B,code generation,Code-specialized language model demonstrated strong natural-language-to-code performance,https://arxiv.org/abs/2107.03374#:~:text=Submitted%20on%207%20Jul%202021
Chinchilla,DeepMind,2022-04-12,70B,compute-optimal scaling,Showed that smaller models trained on more data could outperform larger ones at the same compute budget,https://deepmind.google/discover/blog/an-empirical-analysis-of-compute-optimal-large-language-model-training/#:~:text=April%2012%2C%202022
PaLM,Google,2022-04-04,540B,,Major Google frontier language model before the Gemini line,https://research.google/blog/pathways-language-model-palm-scaling-to-540-billion-parameters-for-breakthrough-performance/#:~:text=April%204%2C%202022
DALL-E 2,OpenAI,2022-04-06,,photorealistic image generation,Dramatically improved text-to-image generation reached mainstream attention,https://openai.com/index/dall-e-2/#:~:text=April%206%2C%202022
Whisper,OpenAI,2022-09-21,1.55B (open),speech recognition,Open-source speech recognition model achieved broad practical adoption,https://openai.com/index/whisper/#:~:text=September%2021%2C%202022
Stable Diffusion,Stability AI,2022-08-22,,open-weight image model,Open release made high-quality text-to-image generation widely accessible,https://stability.ai/news/stable-diffusion-public-release#:~:text=August%2022%2C%202022
ChatGPT / GPT-3.5,OpenAI,2022-11-30,,chatbot interface,RLHF chat interface made large language models mainstream,https://openai.com/index/chatgpt/#:~:text=November%2030%2C%202022
GPT-4,OpenAI,2023-03-14,,higher reliability,Reliability jump enabled stronger reasoning and professional-use confidence,https://openai.com/research/gpt-4#:~:text=March%2014%2C%202023
GPT-4o,OpenAI,2024-05-13,,low-latency multimodal,Unified multimodal model made real-time voice and vision practical,https://openai.com/index/hello-gpt-4o/#:~:text=May%2013%2C%202024
AlphaFold 3,Google DeepMind,2024-05-08,,molecular interaction prediction,Extended AlphaFold from proteins to proteins plus DNA RNA ligands and interactions,https://deepmind.google/science/alphafold/#:~:text=8th%20May%202024
o1,OpenAI,2024-09-12,,test-time reasoning,"Reasoning-first training improved hard math, science, and coding",https://openai.com/index/introducing-openai-o1-preview/#:~:text=September%2012%2C%202024
o3,OpenAI,2025-04-16,,,Tool-using reasoning model pushed agentic problem-solving into ChatGPT,https://openai.com/index/introducing-o3-and-o4-mini/#:~:text=April%2016%2C%202025
GPT-5,OpenAI,2025-08-07,,agentic behavior,Agentic coding and stronger instruction-following became the new baseline,https://openai.com/index/introducing-gpt-5-for-developers/#:~:text=August%207%2C%202025
Claude 1,Anthropic,2023-03-14,,constitutional ai,Constitutional AI offered a major alternative alignment approach,https://www.anthropic.com/news/introducing-claude#:~:text=Mar%2014%2C%202023
Claude 2,Anthropic,2023-07-11,,,Longer context and stronger enterprise usability increased adoption,https://www.anthropic.com/news/claude-2#:~:text=Jul%2011%2C%202023
Claude 3,Anthropic,2024-03-04,,,Top-tier multimodal performance made Anthropic a clear frontier peer,https://www.anthropic.com/news/claude-3-family#:~:text=Mar%204%2C%202024
Claude 3.5 Sonnet,Anthropic,2024-06-21,,coding performance,Major real-world coding and usefulness jump reset expectations in 2024,https://www.anthropic.com/news/claude-3-5-sonnet#:~:text=Jun%2021%2C%202024
Claude 4,Anthropic,2025-05-22,,,Hybrid reasoning and coding strength deepened enterprise competition,https://www.anthropic.com/news/claude-4#:~:text=May%2022%2C%202025
Gemini 1.0,Google,2023-12-06,,,Google unified multimodal models across Nano Pro and Ultra,https://blog.google/technology/google-deepmind/google-gemini-ai/#:~:text=06%20Dec%2C%202023
Gemini 1.5,Google,2024-02-15,,million-token context,Massive context windows shifted expectations for long-document analysis,https://blog.google/technology/ai/google-gemini-next-generation-model-february-2024/#:~:text=Feb%2015%2C%202024
Gemini 2.0,Google,2024-12-11,,,Tool use and native multimodal outputs marked Google's agentic push,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/google-gemini-ai-update-december-2024/#:~:text=Dec%2011%2C%202024
Gemini 2.5,Google,2025-03-25,,,Reasoning plus multimodality strengthened Google's frontier position,https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/#:~:text=Mar%2025%2C%202025
Grok-1,xAI,2023-11-03,314B (open),,Major new entrant signaled Musk-backed competition and open weights,https://x.ai/news/grok#:~:text=November%2003%2C%202023
Grok-2,xAI,2024-08-13,,,Big jump in chat coding and reasoning made xAI competitive,https://x.ai/blog/grok-2#:~:text=August%2013%2C%202024
Grok 3,xAI,2025-02-19,,,Showed xAI could contend seriously with leading labs,https://x.ai/blog/grok-3#:~:text=February%2019%2C%202025
Grok 4,xAI,2025-07-09,,,Marked continued rapid scaling from a politically visible entrant,https://x.ai/news/grok-4/#:~:text=July%2009%2C%202025
Llama 2,Meta,2023-07-18,70B (open),open weights,Mainstreamed permissively licensed large models for broad commercial use,https://about.fb.com/news/2023/07/llama-2/amp/#:~:text=Today%2C%20we%E2%80%99re%20introducing%20the%20availability%20of%20Llama%202
Llama 3,Meta,2024-04-18,70B (open),,Showed open-weight models could move much closer to the frontier,https://about.fb.com/news/2024/04/meta-ai-assistant-built-with-llama-3/#:~:text=April%2018%2C%202024
Llama 3.1,Meta,2024-07-23,405B (open),largest open model at launch,Open-weight ecosystem matured with a very large flagship release,https://about.fb.com/ltam/news/2024/07/presentamos-llama-3-1-nuestro-modelo-de-lenguaje-a-gran-escala-mas-capaz-hasta-la-fecha/#:~:text=23%2F07%2F2024
DeepSeek-R1,DeepSeek,2025-01-20,671B (open),open reasoning,Open reasoning model proved reinforcement learning could rival leaders,https://api-docs.deepseek.com/news/news250120#:~:text=DeepSeek%2DR1%20Release
